College,Status,Team,Experience,LastName,FirstName,Number,PlayerId,Position
Western Michigan,Retired, ,7 Seasons,"Delmas, Louis", ,louisdelmas/71279,
Texas Tech,Retired, ,10 Seasons,"Parks, Dave", ,daveparks/2522772,
Nebraska,Retired, ,1 Season,"Bassett, Henry", ,henrybassett/2509133,
Washington State,Retired, ,3 Seasons,"Utley, Mike", ,mikeutley/2503443,
Virginia Tech,Retired, ,9 Seasons,"Lehr, Matt", ,mattlehr/2504672,
Sam Houston State,Retired, ,3 Seasons,"Dirden, Johnnie", ,johnniedirden/2512959,
Louisiana-Monroe,Active,Tampa Bay Buccaneers,1st season,"Allen, Josh", ,joshallen/2550472,C
No College,Retired, ,2 Seasons,"Vaughan, Harp", ,harpvaughan/2527911,
California,Active,Los Angeles Chargers,5th season,"Allen, Keenan",13,keenanallen/2540154,WR
Oregon State,Retired, ,1 Season,"Koeper, Rich", ,richkoeper/2518683,
Texas Christian,Retired, ,1 Season,"Olson, Jeff", ,jeffolson/2542281,
Michigan,Active,Baltimore Ravens,Rookie,"Allen, Kenny", ,kennyallen/2558907,P
No College,Retired, ,3 Seasons,"Gaulke, Hal", ,halgaulke/2514708,
South Florida,Active,Miami Dolphins,8th season,"Allen, Nate", ,nateallen/2508043,DB
Georgia,Retired, ,1 Season,"Whire, Jodie", ,jodiewhire/2528624,
Menlo College,Retired, ,7 Seasons,"Jackson, Nate", ,natejackson/2504808,
Oklahoma,Retired, ,1 Season,"Washington, R.J.", ,r.j.washington/2541799,
Maryland East. Shore,Retired, ,2 Seasons,"Denson, Moses", ,mosesdenson/2512810,
Richmond,Retired, ,1 Season,"Emelianchik, Pete", ,peteemelianchik/2513626,
Iowa,Retired, ,4 Seasons,"Gibson, Damon", ,damongibson/2500800,
Navy,Retired, ,5 Seasons,"Roberts, Wooky", ,wookyroberts/2524290,
No College,Retired, ,1 Season,"Pitts, Alabama", ,alabamapitts/2523285,
Oregon,Retired, ,2 Seasons,"Sanchez, Davis", ,davissanchez/2504338,
Mississippi,Retired, ,5 Seasons,"Johnson, Marcus", ,marcusjohnson/2506388,
Texas,Retired, ,5 Seasons,"Jeter, Tommy", ,tommyjeter/2501400,
Holy Cross,Retired, ,1 Season,"Kennedy, Jimmy", ,jimmykennedy/2518339,
Murray State,Retired, ,5 Seasons,"Harris, Marcus", ,marcusharris/2530959,
Tulane,Retired, ,11 Seasons,"Mason, Tommy", ,tommymason/2520296,
Alabama-Birmingham,Retired, ,2 Seasons,"Davis, Pernell", ,pernelldavis/2500323,
Texas,Retired, ,3 Seasons,"Mauldin, Stan", ,stanmauldin/2520388,
Tennessee,Retired, ,10 Seasons,"Lipscomb, Paul", ,paullipscomb/2519562,
South Alabama,Active,Baltimore Ravens,Rookie,"Allen, Randy", ,randyallen/2559315,LB
Texas Southern,Retired, ,5 Seasons,"Dean, Fred", ,freddean/2512679,
Tulane,Retired, ,1 Season,"Thibaut, Jim", ,jimthibaut/2527198,
Utah,Retired, ,4 Seasons,"Johnson, Robert", ,robertjohnson/2508053,
Wisconsin,Retired, ,1 Season,"Johnson, Farnham", ,farnhamjohnson/2517630,
Hawaii,Retired, ,2 Seasons,"Noa, Kaulana", ,kaulananoa/2504279,
Southern Illinois,Retired, ,1 Season,"Franklin, Stephen", ,stephenfranklin/2530841,
USC,Retired, ,11 Seasons,"Weaver, Charlie", ,charlieweaver/2528402,
Pittsburgh,Retired, ,2 Seasons,"Seidelson, Red", ,redseidelson/2525293,
Florida,Retired, ,5 Seasons,"Odom, Jason", ,jasonodom/2502339,
Colorado,Retired, ,1 Season,"Savoy, Phil", ,philsavoy/2502845,
Ohio State,Retired, ,8 Seasons,"James, Dan", ,danjames/2517371,
Ohio State,Retired, ,1 Season,"Saunders, Cedric", ,cedricsaunders/2502841,
